export,r_source_file,r_args,python_signature,implemented,python_test_reference,r_test_reference,rd_reference,vignette_reference
assign_gazepoint_aoi,aoi-assignment.R,"data, aois, x_col = NULL, y_col = NULL, aoi_label_col = ""aoi"", format = c(""auto"", ""rectangle"", ""polygon""), aoi_id_col = NULL, data_match_cols = NULL, aoi_match_cols = data_match_cols, xmin_col = ""xmin"", xmax_col = ""xmax"", ymin_col = ""ymin"", ymax_col = ""ymax"", vertex_x_col = ""vertex_x"", vertex_y_col = ""vertex_y"", priority_col = NULL, overlap = c( ""priority"", ""first"", ""smallest"", ""all"", ""error"" ), boundary = c(""inside"", ""outside""), output_col = ""AOI"", match_count_col = ""aoi_match_count"", ambiguous_col = ""aoi_ambiguous"", status_col = ""aoi_assignment_status"", all_separator = ""|"", overwrite = FALSE","(data, aois, x_col=None, y_col=None, aoi_label_col='aoi', format='auto', aoi_id_col=None, data_match_cols=None, aoi_match_cols=None, xmin_col='xmin', xmax_col='xmax', ymin_col='ymin', ymax_col='ymax', vertex_x_col='vertex_x', vertex_y_col='vertex_y', priority_col=None, overlap='priority', boundary='inside', output_col='AOI', match_count_col='aoi_match_count', ambiguous_col='aoi_ambiguous', status_col='aoi_assignment_status', all_separator='|', overwrite=False)",True,True,True,True,False
audit_gazepoint_beats,beat-correction-audit.R,"data, ibi_col = NULL, beat_time_col = NULL, group_cols = NULL, min_ibi = 300, max_ibi = 2000, duplicate_tolerance = 0, max_relative_change = NULL","(data, ibi_col=None, beat_time_col=None, group_cols=None, min_ibi=300, max_ibi=2000, duplicate_tolerance=0, max_relative_change=None)",True,True,True,True,False
audit_gazepoint_biometric_missingness,validate.R,"data, columns = NULL","(data, columns=None)",True,True,True,True,False
audit_gazepoint_biometric_sampling,sampling.R,"data, group_columns = NULL, time_column = NULL, time_unit = c( ""seconds"", ""milliseconds"", ""microseconds"", ""samples"" ), expected_rate_hz = 60, tolerance_hz = 5","(data, group_columns=None, time_column=None, time_unit='seconds', expected_rate_hz=60, tolerance_hz=5)",True,True,True,True,True
audit_gazepoint_biometric_sync_drift,sync-drift-diagnostics.R,"data, time_col = NULL, group_cols = NULL, signal_pairs = NULL, signal_cols = NULL, reference_signal_col = NULL, max_lag = 1000, lag_step = NULL, drift_tolerance = NULL, method = c(""pearson"", ""spearman""), min_complete_pairs = 20, use_first_difference = FALSE, include_reset_segments = TRUE","(data, time_col=None, group_cols=None, signal_pairs=None, signal_cols=None, reference_signal_col=None, max_lag=1000, lag_step=None, drift_tolerance=None, method='pearson', min_complete_pairs=20, use_first_difference=False, include_reset_segments=True)",True,True,True,True,True
audit_gazepoint_biometrics_file,frontdoor-audit-missingness.R,"path = NULL, data = NULL, expected_modalities = c(""time"", ""eda"", ""ppg"", ""hr"", ""ibi"", ""pupil"", ""gaze"", ""events""), time_col = NULL, standardize = TRUE, include_data = FALSE, long_gap_s = NULL","(path=None, data=None, expected_modalities=('time', 'eda', 'ppg', 'hr', 'ibi', 'pupil', 'gaze', 'events'), time_col=None, standardize=True, include_data=False, long_gap_s=None)",True,True,True,True,True
audit_gazepoint_condition_balance,design-event-audit.R,"data, participant_col, condition_col, trial_col = NULL, expected_conditions = NULL","(data, participant_col, condition_col, trial_col=None, expected_conditions=None)",True,True,True,True,True
audit_gazepoint_dataset_structure,dataset-structure-audit.R,"root, expected_dirs = NULL, expected_files = NULL, expected_patterns = NULL, allowed_extensions = c(""csv"", ""tsv"", ""txt"", ""json"", ""xlsx"", ""rds""), require_sidecars = FALSE, recursive = TRUE, include_hidden = FALSE","(root, expected_dirs=None, expected_files=None, expected_patterns=None, allowed_extensions=None, require_sidecars=False)",True,True,True,True,True
audit_gazepoint_distributional_drift,distributional-drift.R,"dat, signal_cols, session_col = ""session"", participant_col = NULL, reference_session = NULL, bins = 10, psi_warn = 0.10, psi_fail = 0.25","(dat, signal_cols, session_col='session', participant_col=None, reference_session=None, bins=10, psi_warn=0.1, psi_fail=0.25)",True,True,True,True,False
audit_gazepoint_eda_artifacts,eda-artifact-qc.R,"data, signal_col = NULL, time_col = NULL, group_cols = NULL, prefer_gsr_us = TRUE, jump_threshold_sd = 6, slope_threshold_sd = 6, flat_run_length = 20, zero_run_length = 20, saturation_min = NULL, saturation_max = NULL, negative_allowed = NULL","(data, signal_col=None, time_col=None, group_cols=None, prefer_gsr_us=True, jump_threshold_sd=6, slope_threshold_sd=6, flat_run_length=20, zero_run_length=20, saturation_min=None, saturation_max=None, negative_allowed=None)",True,True,True,True,True
audit_gazepoint_engagement_dial,quality.R,"data, value_column = ""DIAL"", validity_column = ""DIALV"", min_value = 0, max_value = 1, jump_threshold = NULL","(data, value_column='DIAL', validity_column='DIALV', min_value=0, max_value=1, jump_threshold=None)",True,True,True,True,False
audit_gazepoint_event_coverage,design-event-audit.R,"data, event_col, participant_col = NULL, trial_col = NULL, condition_col = NULL, expected_events = NULL, unit_cols = NULL","(data, event_col, participant_col=None, trial_col=None, unit_cols=None, expected_events=None)",True,True,True,True,True
audit_gazepoint_experiment_design,design-event-audit.R,"data, participant_col, trial_col = NULL, condition_col = NULL, session_col = NULL, expected_conditions = NULL, min_trials_per_condition = 1L","(data, participant_col='participant', trial_col=None, condition_col=None, session_col=None, expected_conditions=None, min_trials_per_condition=1)",True,True,True,True,True
audit_gazepoint_export_schema,roadmap-exact-backlog-helpers.R,"data, expected_roles = NULL, dictionary = NULL, strict = FALSE","(data, expected_roles=None, dictionary=None, strict=False)",True,True,True,True,True
audit_gazepoint_gsr_quality,quality.R,"data, value_column = NULL, validity_column = ""GSRV"", min_value = 0, max_value = 100, jump_threshold = NULL","(data, value_column=None, validity_column='GSRV', min_value=0, max_value=100, jump_threshold=None)",True,True,True,True,True
audit_gazepoint_gsr_units,gsr-units-audit.R,"dat, gsr_col = ""GSR"", convert = FALSE, output_col = NULL, resistance_to_us_factor = 1000000","(dat, gsr_col='GSR', convert=False, output_col=None, resistance_to_us_factor=1000000)",True,True,True,True,True
audit_gazepoint_hr_quality,quality.R,"data, value_column = ""HR"", validity_column = ""HRV"", min_value = 30, max_value = 220, jump_threshold = 25","(data, value_column='HR', validity_column='HRV', min_value=30, max_value=220, jump_threshold=25)",True,True,True,True,False
audit_gazepoint_ibi_quality,ibi-helpers.R,"data, ibi_col = NULL, group_cols = NULL, time_col = NULL, unit = c(""auto"", ""milliseconds"", ""seconds""), min_ibi_ms = 300, max_ibi_ms = 2000, max_jump_ms = 500","(data, ibi_col=None, group_cols=None, time_col=None, unit='auto', min_ibi_ms=300, max_ibi_ms=2000, max_jump_ms=500)",True,True,True,True,True
audit_gazepoint_interoperability_versions,interoperability-version-testing.R,"manifest = gazepoint_interoperability_manifest(), include_python = TRUE, strict = FALSE","(manifest=None, include_python=True, strict=False)",True,True,True,True,True
audit_gazepoint_pipeline_steps,pipeline-visualization.R,"pipeline, expected_steps = NULL, required_order = NULL, allow_extra = TRUE","(pipeline, expected_steps=None, required_order=None, allow_extra=True)",True,True,True,True,True
audit_gazepoint_preregistration_consistency,preregistration-readiness.R,"checklist = NULL, evidence = list(), require_required_fields = TRUE","(checklist=None, evidence=None, require_required_fields=True)",True,True,True,True,True
audit_gazepoint_pupil_luminance,roadmap-remaining-helpers.R,"data, pupil_col = NULL, luminance_col = NULL, group_cols = NULL, threshold = 0.30, method = c(""pearson"", ""spearman"")","(data, pupil_col=None, luminance_col=None, group_cols=None, threshold=0.3, method='pearson')",True,True,True,True,False
audit_gazepoint_release_readiness,release-readiness-audit.R,"path = ""."", required_files = c( ""DESCRIPTION"", ""NAMESPACE"", ""R"", ""man"", ""tests/testthat"", ""_pkgdown.yml"" ), expected_exports = NULL, roadmap_terms = NULL, require_pkgdown = TRUE","(path='.', required_files=('DESCRIPTION', 'NAMESPACE', 'R', 'man', 'tests/testthat', '_pkgdown.yml'), expected_exports=None, roadmap_terms=None, require_pkgdown=True)",True,True,True,True,True
audit_gazepoint_session_comparability,session-quality-audit.R,"data, metric_cols, group_cols = NULL, method = c(""both"", ""z"", ""iqr""), z_threshold = 2, iqr_multiplier = 1.5","(data, metric_cols, group_cols=None, method='both', z_threshold=2, iqr_multiplier=1.5)",True,True,True,True,True
audit_gazepoint_signal_activity,time-activity-qc.R,"data, signal_cols = NULL, group_cols = NULL, zero_is_inactive = TRUE, min_unique_nonzero = 2, missing_as_inactive = TRUE","(data, signal_cols=None, group_cols=None, zero_is_inactive=True, min_unique_nonzero=2, missing_as_inactive=True)",True,True,True,True,True
audit_gazepoint_smoke_privacy,real-data-smoke-harness.R,"x, private_values = NULL","(x, private_values=None)",True,True,True,True,True
audit_gazepoint_stabilization_period,environment-confounds-and-ipfm.R,"dat, time_col = ""CNT"", group_cols = NULL, stabilization_minutes = 10, action = c(""flag"", ""trim""), output_col = ""in_stabilization_period"", time_units = c(""auto"", ""seconds"", ""milliseconds"")","(dat, time_col='CNT', group_cols=None, stabilization_minutes=10, action='flag', output_col='in_stabilization_period', time_units='auto')",True,True,True,True,False
audit_gazepoint_time_resets,time-activity-qc.R,"data, time_col = NULL, group_cols = NULL, allow_ties = TRUE, split_on_negative_step = TRUE, return_reindexed_time = FALSE, min_segment_rows = 1","(data, time_col=None, group_cols=None, allow_ties=True, split_on_negative_step=True, return_reindexed_time=False, min_segment_rows=1)",True,True,True,True,True
audit_gazepoint_timecourse_grid,cluster-permutation-diagnostics.R,"data, subject, condition, time, value = NULL, max_report_cells = 1000L","(data, subject, condition, time, value=None, max_report_cells=1000)",True,True,True,True,True
baseline_correct_gazepoint_gsr,preprocess.R,"data, baseline_rows, value_column = NULL, validity_column = ""GSRV"", group_columns = NULL, output_column = NULL, summary = c(""mean"", ""median""), exclude_zero = TRUE","(data, baseline_rows, value_column=None, validity_column='GSRV', group_columns=None, output_column=None, summary='mean', exclude_zero=True)",True,True,True,True,True
baseline_correct_gazepoint_hr,preprocess.R,"data, baseline_rows, value_column = ""HR"", validity_column = ""HRV"", group_columns = NULL, output_column = NULL, summary = c(""mean"", ""median""), exclude_zero = TRUE","(data, baseline_rows, value_column='HR', validity_column='HRV', group_columns=None, output_column=None, summary='mean', exclude_zero=True)",True,True,True,True,False
baseline_correct_gazepoint_pupil,pupil-and-saccade-diagnostics.R,"dat, pupil_col = NULL, time_col = ""CNT"", stimulus_onset_col = NULL, trial_cols = NULL, baseline_window = c(-240, -200), baseline_function = c(""median"", ""mean""), correction = c(""subtract"", ""divide""), suffix = ""_baseline_corrected"", min_baseline_rows = 2, overwrite = FALSE","(dat, pupil_col=None, time_col='time', stimulus_onset_col=None, trial_cols=None, baseline_window=(-250, -50), baseline_function='median', correction='subtract', suffix='_baseline_corrected', min_baseline_rows=2, overwrite=False)",True,True,True,True,True
build_gazepoint_aoi_timecourse,alignment-aoi-eventlocked-dashboard.R,"data, time_col = NULL, aoi_col = NULL, x_col = NULL, y_col = NULL, aoi_definitions = NULL, group_cols = NULL, bin_width_s = 0.10, valid_col = NULL, include_empty = TRUE","(data, time_col=None, aoi_col=None, x_col=None, y_col=None, aoi_definitions=None, group_cols=None, bin_width_s=0.1, valid_col=None, include_empty=True)",True,True,True,True,True
calculate_gazepoint_rsa,pdr-rsa.R,"dat, ibi_col = ""IBI"", time_col = ""CNT"", group_cols = NULL, pdr = NULL, resp_rate_hz = NULL, respiration_band = c(0.12, 0.40), resample_rate = 4","(dat: 'pd.DataFrame', ibi_col: 'str' = 'IBI', time_col: 'str' = 'CNT', group_cols: 'Iterable[str] | None' = None, pdr=None, resp_rate_hz: 'float | None' = None, respiration_band=(0.12, 0.4), resample_rate: 'float' = 4)",True,True,True,True,False
check_gazepoint_bids,bids-layout-audit.R,"root, subject_pattern = ""^sub-[A-Za-z0-9]+$"", recursive = TRUE, expected_files = c(""dataset_description.json"", ""participants.tsv""), gazepoint_patterns = c( ""all[_-]?gaze"", ""fixation"", ""summary"", ""biometric"", ""eda"", ""gsr"", ""ecg"", ""ppg"", ""hr"", ""ibi"" )","(root, subject_pattern='^sub-[A-Za-z0-9]+$', recursive=True, expected_files=('dataset_description.json', 'participants.tsv'), gazepoint_patterns=('all[_-]?gaze', 'fixation', 'summary', 'biometric', 'eda', 'gsr', 'ecg', 'ppg', 'hr', 'ibi'))",True,True,True,True,True
check_gazepoint_biometric_columns,import.R,data,(data),True,True,True,True,False
check_gazepoint_plot_contract,plot-contracts.R,"plot, require_plot_data = TRUE, require_settings = TRUE","(plot, require_plot_data=True, require_settings=True)",True,True,True,True,False
check_gazepoint_ppg_binary_quality,heartpy-extended.R,"measures = NULL, peaks = NULL, min_peaks = 5L, bpm_range = c(40, 180), max_missing_prop = 0.25","(measures=None, peaks=None, min_peaks=5, bpm_range=(40, 180), max_missing_prop=0.25)",True,True,True,True,True
check_gazepoint_pyhrv_interval,pyhrv-style.R,"nni_ms, min_ms = 250, max_ms = 2500","(nni_ms, min_ms=250, max_ms=2500)",True,True,True,True,True
chunk_gazepoint_biometrics,simulation-and-chunking.R,"dat, time_col = ""CNT"", group_cols = NULL, chunk_seconds = 60, start_time = NULL, chunk_col = ""chunk_id"", episode_col = ""episode_id"", include_partial = FALSE","(dat, time_col='CNT', group_cols=None, chunk_seconds=60, start_time=None, chunk_col='chunk_id', episode_col='episode_id', include_partial=False)",True,True,True,True,False
classify_gazepoint_eda_response_pattern,external-eda-method-bridges.R,"data, response_col = NULL, group_cols = NULL, summary_function = c(""max_abs"", ""mean_abs"", ""median_abs""), no_response_threshold = 0.01, low_response_threshold = 0.05, moderate_response_threshold = 0.20","(data, response_col=None, group_cols=None, summary_function='max_abs', no_response_threshold=0.01, low_response_threshold=0.05, moderate_response_threshold=0.2)",True,True,True,True,True
classify_gazepoint_scr_intervals,eda-intervals-and-kleckner.R,"dat, response_time_col = NULL, stimulus_onset_col = NULL, latency_col = NULL, output_col = ""scr_interval"", latency_output_col = ""scr_latency_s"", fir = c(1, 4), sir = c(4, 7), tir = c(7, 10)","(dat, response_time_col=None, stimulus_onset_col=None, latency_col=None, output_col='scr_interval', latency_output_col='scr_latency_s', fir=(1, 4), sir=(4, 7), tir=(7, 10))",True,True,True,True,False
classify_gazepoint_signal_quality,signal-quality-reporting.R,"quality, rules = NULL","(quality, rules=None)",True,True,True,True,True
clean_gazepoint_pupil,roadmap-compatibility-aliases.R,"data, pupil_cols = NULL, time_col = NULL, blink_col = NULL, max_gap_s = NULL, method = c(""linear"", ""constant""), suffix = ""_clean"", prefer_existing = FALSE, ...","(data, pupil_cols=None, time_col=None, blink_col=None, max_gap_s=None, method='linear', suffix='_clean', prefer_existing=False, **kwargs)",True,True,True,True,False
clean_gazepoint_pupil_signal,pupil-gaze-cleaning.R,"data, pupil_cols = NULL, time_col = NULL, group_cols = NULL, validity_cols = NULL, method = c(""linear"", ""locf"", ""nocb"", ""nearest"", ""constant""), max_gap = Inf, spike_mad = 6, combine = c(""all"", ""any""), min_blink_samples = 1L, suffix = ""_clean"", keep_flags = TRUE","(data, pupil_cols=None, time_col=None, group_cols=None, validity_cols=None, method='linear', max_gap=inf, spike_mad=6, combine='all', min_blink_samples=1, suffix='_clean', keep_flags=True)",True,True,True,True,False
clean_gazepoint_rr_intervals,heartpy-extended.R,"rr_ms, method = c(""quotient"", ""iqr"", ""modified_z"", ""zscore"", ""none""), group_col = ""group"", quotient_threshold = 0.20, iqr_multiplier = 1.5, z_threshold = 3.5","(rr_ms, method='quotient', group_col='group', quotient_threshold=0.2, iqr_multiplier=1.5, z_threshold=3.5)",True,True,True,True,False
combine_gazepoint_marker_channels_pspm_style,pspm-style.R,"data, marker_cols = NULL, time_col = NULL, sampling_rate_hz = NULL, group_cols = NULL, combined_col = ""pspm_marker""","(data, marker_cols=None, time_col=None, sampling_rate_hz=None, group_cols=None, combined_col='pspm_marker')",True,True,True,True,False
compare_gazepoint_conditions_bootstrap,condition-bootstrap.R,"data, outcome_col, condition_col, participant_col = NULL, condition_levels = NULL, paired = FALSE, by_cols = NULL, statistic = c(""mean_difference"", ""median_difference"", ""standardized_mean_difference""), n_boot = 2000, conf_level = 0.95, seed = NULL, na_rm = TRUE","(data, outcome_col, condition_col, participant_col=None, condition_levels=None, paired=False, by_cols=None, statistic='mean_difference', n_boot=2000, conf_level=0.95, seed=None, na_rm=True)",True,True,True,True,False
compare_gazepoint_export_profiles,export-folder-profile.R,"..., labels = NULL","(*profiles, labels=None)",True,True,True,True,True
compare_gazepoint_hr_ibi_consistency,ibi-hr-hrv-core.R,"data, hr_col = ""HR"", ibi_col = ""IBI"", time_col = NULL, group_cols = NULL, unit = c(""auto"", ""ms"", ""seconds""), max_abs_diff_bpm = 10, max_rel_diff_prop = 0.15","(data, hr_col='HR', ibi_col='IBI', time_col=None, group_cols=None, unit='auto', max_abs_diff_bpm=10, max_rel_diff_prop=0.15)",True,True,True,True,False
compare_gazepoint_pyhrv_psd_methods,pyhrv-style.R,"nni_ms, time_s = NULL, methods = c(""welch"", ""lomb"", ""ar""), plot = FALSE","(nni_ms, time_s=None, methods=('welch', 'lomb', 'ar'), plot=False)",True,True,True,True,True
compute_gazepoint_engagement_index,event-physiology-indices.R,"dial, time = NULL, threshold = 50, group = NULL, return = c(""data"", ""scalar"")","(dial, time=None, threshold=50, group=None, return_='data', **kwargs)",True,True,True,True,False
compute_gazepoint_hrv_wavelet_psd,roadmap-exact-backlog-helpers.R,"rr_intervals, time = NULL, bands = list( vlf = c(0.0033, 0.04), lf = c(0.04, 0.15), hf = c(0.15, 0.40) ), max_scale = NULL","(rr_intervals, time=None, bands=None, max_scale=None)",True,True,True,True,False
compute_gazepoint_ppg_frequency_measures,heartpy-extended.R,"peaks = NULL, rr_ms = NULL, rr_time_s = NULL, group_col = ""group"", method = c(""welch"", ""fft"", ""periodogram""), resample_hz = 4, bands = list( lf = c(0.05, 0.15), hf = c(0.15, 0.50) ), welch_window_seconds = 64, welch_overlap = 0.5","(peaks=None, rr_ms=None, rr_time_s=None, group_col='group', method='welch', resample_hz=4, bands=None, welch_window_seconds=64, welch_overlap=0.5)",True,True,True,True,False
compute_gazepoint_ppg_measures,heartpy-bridge.R,"peaks, group_col = ""group""","(peaks, group_col='group')",True,True,True,True,False
compute_gazepoint_ppg_template_similarity,roadmap-exact-backlog-helpers.R,"data, time_col = NULL, ppg_col = NULL, peaks = NULL, window_s = c(-0.25, 0.45), sampling_rate_hz = NULL, n_grid = 101, similarity_threshold = 0.80","(data, time_col=None, ppg_col=None, peaks=None, window_s=(-0.25, 0.45), sampling_rate_hz=None, n_grid=101, similarity_threshold=0.8)",True,True,True,True,False
compute_gazepoint_pyhrv_ar_psd,pyhrv-style.R,"nni_ms, time_s = NULL, resample_hz = 4, order = NULL","(nni_ms, time_s=None, resample_hz=4, order=None)",True,True,True,True,False
compute_gazepoint_pyhrv_dfa,pyhrv-style.R,"nni_ms, scales = unique(round(exp(seq(log(4), log(64), length.out = 12))))","(nni_ms, scales=None)",True,True,True,True,False
compute_gazepoint_pyhrv_frequency_domain,pyhrv-style.R,"nni_ms, time_s = NULL, method = c(""welch"", ""lomb"", ""ar"")","(nni_ms, time_s=None, method='welch')",True,True,False,True,True
compute_gazepoint_pyhrv_heart_rate,pyhrv-style.R,nni_ms,(nni_ms),True,True,True,True,False
compute_gazepoint_pyhrv_hr_parameters,pyhrv-style.R,nni_ms,(nni_ms),True,True,False,True,False
compute_gazepoint_pyhrv_lomb_psd,pyhrv-style.R,"nni_ms, time_s = NULL, min_hz = 0.003, max_hz = 0.4, n_freq = 512","(nni_ms, time_s=None, min_hz=0.003, max_hz=0.4, n_freq=512)",True,True,True,True,False
compute_gazepoint_pyhrv_nn20,pyhrv-style.R,nni_ms,(nni_ms),True,True,True,True,False
compute_gazepoint_pyhrv_nn50,pyhrv-style.R,nni_ms,(nni_ms),True,True,True,True,False
compute_gazepoint_pyhrv_nn_diff,pyhrv-style.R,"nni_ms, absolute = FALSE","(nni_ms, absolute=False)",True,True,False,True,False
compute_gazepoint_pyhrv_nni_differences_parameters,pyhrv-style.R,nni_ms,(nni_ms),True,True,False,True,False
compute_gazepoint_pyhrv_nni_parameters,pyhrv-style.R,nni_ms,(nni_ms),True,True,False,True,False
compute_gazepoint_pyhrv_nnxx,pyhrv-style.R,"nni_ms, threshold_ms = 50","(nni_ms, threshold_ms=50)",True,True,False,True,False
compute_gazepoint_pyhrv_nonlinear,pyhrv-style.R,nni_ms,(nni_ms),True,True,True,True,False
compute_gazepoint_pyhrv_poincare,pyhrv-style.R,"nni_ms, plot = FALSE","(nni_ms, plot=False)",True,True,True,True,False
compute_gazepoint_pyhrv_psd_waterfall,pyhrv-style.R,"nni_ms, segment_seconds = 300, method = c(""welch"", ""lomb"", ""ar""), plot = FALSE","(nni_ms, segment_seconds=300, method='welch', plot=False)",True,True,False,True,False
compute_gazepoint_pyhrv_rmssd,pyhrv-style.R,nni_ms,(nni_ms),True,True,False,True,False
compute_gazepoint_pyhrv_sample_entropy,pyhrv-style.R,"nni_ms, m = 2L, r = NULL","(nni_ms, m=2, r=None)",True,True,True,True,False
compute_gazepoint_pyhrv_sdann,pyhrv-style.R,"nni_ms, segment_seconds = 300","(nni_ms, segment_seconds=300)",True,True,False,True,False
compute_gazepoint_pyhrv_sdnn,pyhrv-style.R,nni_ms,(nni_ms),True,True,False,True,False
compute_gazepoint_pyhrv_sdnn_index,pyhrv-style.R,"nni_ms, segment_seconds = 300","(nni_ms, segment_seconds=300)",True,True,False,True,False
compute_gazepoint_pyhrv_sdsd,pyhrv-style.R,nni_ms,(nni_ms),True,True,False,True,False
compute_gazepoint_pyhrv_time_domain,pyhrv-style.R,"nni_ms, segment_seconds = 300","(nni_ms, segment_seconds=300)",True,True,True,True,True
compute_gazepoint_pyhrv_tinn,pyhrv-style.R,"nni_ms, bin_width_ms = 7.8125","(nni_ms, bin_width_ms=7.8125)",True,True,False,True,False
compute_gazepoint_pyhrv_triangular_index,pyhrv-style.R,"nni_ms, bin_width_ms = 7.8125","(nni_ms, bin_width_ms=7.8125)",True,True,False,True,False
compute_gazepoint_pyhrv_welch_psd,pyhrv-style.R,"nni_ms, time_s = NULL, resample_hz = 4, window_seconds = 256, overlap = 0.5","(nni_ms, time_s=None, resample_hz=4, window_seconds=256, overlap=0.5)",True,True,True,True,False
compute_gazepoint_quality_index,session-quality-audit.R,"data, metric_cols, directions = NULL, weights = NULL, index_col = ""quality_index"", component_prefix = ""quality_component_"", overwrite = FALSE","(data, metric_cols, directions=None, weights=None, index_col='quality_index', component_prefix='quality_component_', overwrite=False)",True,True,True,True,False
compute_gazepoint_scr_habituation,roadmap-remaining-helpers.R,"data, amplitude_col = NULL, trial_col = NULL, subject_col = NULL, method = c(""linear"", ""log_linear"", ""ratio""), min_trials = 3","(data, amplitude_col=None, trial_col=None, subject_col=None, method='linear', min_trials=3)",True,True,True,True,False
